 
5-03-2024 10:57:14 | IPs reserved list | IP: 101.128.102.76 ] | DNS: 101.128.102.76 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:57:55 | IPs reserved list | IP: 114.122.77.4 ] | DNS: 114.122.77.4 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/login | Referer: https://www.google.com/

5-03-2024 10:58:19 | IPs reserved list | IP: 103.122.5.152 ] | DNS: 103.122.5.152 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/api/index/FgBcoIszpj | Referer: no referer

5-03-2024 10:58:22 | IPs reserved list | IP: 103.122.5.152 ] | DNS: 103.122.5.152 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/api/index/FgBcoIszpj | Referer: no referer

5-03-2024 10:58:23 | IPs reserved list | IP: 103.122.5.152 ] | DNS: 103.122.5.152 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/api/index/FgBcoIszpj | Referer: no referer

5-03-2024 10:58:24 | IPs reserved list | IP: 103.122.5.152 ] | DNS: 103.122.5.152 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/api/index/FgBcoIszpj | Referer: no referer

5-03-2024 10:58:24 | IPs reserved list | IP: 103.122.5.152 ] | DNS: 103.122.5.152 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/api/index/FgBcoIszpj | Referer: no referer

5-03-2024 10:58:25 | IPs reserved list | IP: 103.122.5.152 ] | DNS: 103.122.5.152 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/api/index/FgBcoIszpj | Referer: no referer

5-03-2024 10:58:25 | IPs reserved list | IP: 103.122.5.152 ] | DNS: 103.122.5.152 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/api/index/FgBcoIszpj | Referer: no referer

